station,arrondissement,mm,dd,wday,dur
St-Urbain / de la Gauchetière,Ville-Marie,9,17,Sunday,20.2034211
de Lanaudière / Bélanger,Rosemont - La Petite-Patrie,5,16,Tuesday,13.14652908
Guizot / St-Denis,Villeray - Saint-Michel - Parc-Extension,8,7,Monday,13.77605619
Léa-Roback / Sir-Georges-Etienne-Cartier,Le Sud-Ouest,10,18,Wednesday,16.97404149
8e avenue / Dandurand,Rosemont - La Petite-Patrie,9,4,Monday,18.86797683
Gauthier / Papineau,Le Plateau-Mont-Royal,9,20,Wednesday,12.57142537
27e avenue / Rosemont,Rosemont - La Petite-Patrie,8,13,Sunday,15.86584545
Henri-Julien / Laurier,Le Plateau-Mont-Royal,10,30,Monday,9.488083816
du President-Kennedy / Union,Ville-Marie,7,23,Sunday,15.01083228
de Chateaubriand / Jarry,Villeray - Saint-Michel - Parc-Extension,7,7,Friday,13.31510848
Plessis / Ontario,Ville-Marie,6,7,Wednesday,11.07433193
de Bordeaux / Masson,Le Plateau-Mont-Royal,10,3,Tuesday,13.31802758
Bercy / Rachel,Le Plateau-Mont-Royal,6,20,Tuesday,13.86850667
de Rouen / Hogan,Ville-Marie,6,11,Sunday,16.03875481
Boyer / du Mont-Royal,Le Plateau-Mont-Royal,8,30,Wednesday,10.19029005
Richardson / Montmorency,Le Sud-Ouest,10,9,Monday,14.16009611
Ernest-Gendreau / du Mont-Royal,Rosemont - La Petite-Patrie,5,22,Monday,16.09110342
de Mentana / Marie-Anne,Le Plateau-Mont-Royal,9,26,Tuesday,9.248098515
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,6,28,Wednesday,10.4280057
Duluth  / St-Denis,Le Plateau-Mont-Royal,10,5,Thursday,12.57298488
Richardson / Montmorency,Le Sud-Ouest,7,18,Tuesday,14.65711628
Egan / Laurendeau,Le Sud-Ouest,10,31,Tuesday,12.60897083
de Chateaubriand / Jarry,Villeray - Saint-Michel - Parc-Extension,7,13,Thursday,14.01142381
8e avenue / Dandurand,Rosemont - La Petite-Patrie,7,25,Tuesday,14.93348299
Métro Bonaventure (de la Gauchetière / de la Cathédrale),Ville-Marie,7,15,Saturday,14.00978683
Guizot / St-Denis,Villeray - Saint-Michel - Parc-Extension,5,21,Sunday,18.57448593
Hamilton / Jolicoeur,Le Sud-Ouest,8,28,Monday,14.86303929
Fortune / Wellington,Le Sud-Ouest,5,21,Sunday,16.33503509
