station,arrondissement,mm,dd,wday,dur
Bercy / Rachel,Le Plateau-Mont-Royal,7,13,Thursday,13.51886667
Larivière / de Lorimier,Ville-Marie,5,4,Thursday,10.94833567
Boyer / St-Zotique,Rosemont - La Petite-Patrie,5,16,Tuesday,12.17673889
Richardson / Montmorency,Le Sud-Ouest,9,10,Sunday,13.8645754
Parthenais / du Mont-Royal,Le Plateau-Mont-Royal,8,18,Friday,10.52693811
de Rouen / Lespérance,Ville-Marie,6,4,Sunday,13.9165546
8e avenue / Everett,Villeray - Saint-Michel - Parc-Extension,10,3,Tuesday,18.93240064
de la Côte-Ste-Catherine / Decelles,Côte-des-Neiges - Notre-Dame-de-Grâce,10,16,Monday,12.66271319
7e avenue / St-Joseph Rosemont,Rosemont - La Petite-Patrie,10,22,Sunday,8.099205072
7e avenue / St-Joseph Rosemont,Rosemont - La Petite-Patrie,5,24,Wednesday,13.697952
Parc Van Horne (de la Peltrie / de Westbury),Côte-des-Neiges - Notre-Dame-de-Grâce,10,26,Thursday,12.90522262
de Kent / de la Côte-des-Neiges,Côte-des-Neiges - Notre-Dame-de-Grâce,5,13,Saturday,18.55266651
de Rouen / Lespérance,Ville-Marie,10,4,Wednesday,12.75959412
Rose-de-Lima / Workman,Le Sud-Ouest,6,21,Wednesday,14.68440322
de la Côte St-Antoine / Royal,Côte-des-Neiges - Notre-Dame-de-Grâce,10,11,Wednesday,12.91713081
Guizot / St-Denis,Villeray - Saint-Michel - Parc-Extension,5,9,Tuesday,16.7829026
Métro Beaubien (de Chateaubriand / Beaubien),Rosemont - La Petite-Patrie,7,18,Tuesday,10.71268588
Parc Champdoré (Champdoré / de Lille),Villeray - Saint-Michel - Parc-Extension,9,30,Saturday,31.63575524
Plessis / Ontario,Ville-Marie,10,11,Wednesday,11.46070345
Metcalfe / de Maisonneuve,Ville-Marie,6,25,Sunday,13.17013667
8e avenue / Dandurand,Rosemont - La Petite-Patrie,5,6,Saturday,16.12438008
Milton / du Parc,Le Plateau-Mont-Royal,9,21,Thursday,9.30146401
Parc Champdoré (Champdoré / de Lille),Villeray - Saint-Michel - Parc-Extension,5,31,Wednesday,17.5358193
de Mentana / Marie-Anne,Le Plateau-Mont-Royal,5,31,Wednesday,10.45441775
Parc Van Horne (de la Peltrie / de Westbury),Côte-des-Neiges - Notre-Dame-de-Grâce,6,20,Tuesday,24.79057197
Villeneuve / St-Urbain,Le Plateau-Mont-Royal,10,26,Thursday,10.87965198
Square St-Louis (du Square St-Louis / Laval),Le Plateau-Mont-Royal,10,17,Tuesday,11.19915235
Hochelaga / de l'Assomption,Mercier - Hochelaga-Maisonneuve,6,24,Saturday,26.00533333
Pontiac / Gilford,Le Plateau-Mont-Royal,8,20,Sunday,12.10472604
Berri / Cherrier,Le Plateau-Mont-Royal,8,28,Monday,10.20141455
de la Côte St-Antoine / Royal,Côte-des-Neiges - Notre-Dame-de-Grâce,5,17,Wednesday,10.14513803
Square St-Louis (du Square St-Louis / Laval),Le Plateau-Mont-Royal,7,7,Friday,14.31169548
du President-Kennedy / Union,Ville-Marie,9,22,Friday,12.35245444
Métro Jarry (Lajeunesse / Jarry),Villeray - Saint-Michel - Parc-Extension,9,21,Thursday,11.77666616
8e avenue / Everett,Villeray - Saint-Michel - Parc-Extension,6,22,Thursday,15.41763667
de Rouen / Lespérance,Ville-Marie,6,29,Thursday,12.31789
Wolfe / Robin,Ville-Marie,5,30,Tuesday,9.888884459
Maguire / Henri-Julien,Le Plateau-Mont-Royal,9,21,Thursday,12.41869705
Metcalfe / de Maisonneuve,Ville-Marie,5,11,Thursday,12.04417181
5e avenue / Rosemont,Rosemont - La Petite-Patrie,5,22,Monday,15.62018636
Duluth  / St-Denis,Le Plateau-Mont-Royal,10,29,Sunday,10.64665704
du Parc-La Fontaine / Duluth,Le Plateau-Mont-Royal,7,1,Saturday,13.80621953
Larivière / de Lorimier,Ville-Marie,6,17,Saturday,10.92520026
Boyer / du Mont-Royal,Le Plateau-Mont-Royal,8,26,Saturday,11.75016571
Lacombe / Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,5,11,Thursday,17.01972255
Square St-Louis (du Square St-Louis / Laval),Le Plateau-Mont-Royal,5,11,Thursday,14.34280601
de l'Hôtel-de-Ville / Roy,Le Plateau-Mont-Royal,6,16,Friday,12.28731145
Harvard / de Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,10,15,Sunday,15.93536136
de Lanaudière / Bélanger,Rosemont - La Petite-Patrie,7,26,Wednesday,14.29571099
de Chateaubriand / Jarry,Villeray - Saint-Michel - Parc-Extension,10,4,Wednesday,14.08114147
de la Roche / Bélanger,Rosemont - La Petite-Patrie,9,27,Wednesday,14.01614634
Square St-Louis (du Square St-Louis / Laval),Le Plateau-Mont-Royal,8,8,Tuesday,12.27766374
du Parc-La Fontaine / Duluth,Le Plateau-Mont-Royal,10,8,Sunday,11.09601771
Metcalfe / de Maisonneuve,Ville-Marie,9,11,Monday,12.67205753
Parc Champdoré (Champdoré / de Lille),Villeray - Saint-Michel - Parc-Extension,7,22,Saturday,18.23195323
Hélène-Baillargeon / St-Denis,Le Plateau-Mont-Royal,5,22,Monday,12.44899444
27e avenue / Rosemont,Rosemont - La Petite-Patrie,7,5,Wednesday,18.70739242
Ann / Wellington,Le Sud-Ouest,5,23,Tuesday,12.42483443
de Bordeaux / Masson,Le Plateau-Mont-Royal,9,1,Friday,12.00548841
Milton / du Parc,Le Plateau-Mont-Royal,10,29,Sunday,12.82452132
Henri-Julien / Laurier,Le Plateau-Mont-Royal,9,26,Tuesday,11.57111782
Lacombe / Victoria,Côte-des-Neiges - Notre-Dame-de-Grâce,9,21,Thursday,20.65609167
1ère  avenue / St-Zotique,Rosemont - La Petite-Patrie,10,30,Monday,12.6005537
Hélène-Baillargeon / St-Denis,Le Plateau-Mont-Royal,10,5,Thursday,11.65981612
27e avenue / Rosemont,Rosemont - La Petite-Patrie,7,31,Monday,17.53047778
Henri-Julien / Laurier,Le Plateau-Mont-Royal,5,17,Wednesday,9.069330093
Harvard / de Monkland,Côte-des-Neiges - Notre-Dame-de-Grâce,10,28,Saturday,12.71006394
Marché Jean-Talon (Henri-Julien / Jean-Talon),Rosemont - La Petite-Patrie,8,29,Tuesday,17.15300158
Parc Van Horne (de la Peltrie / de Westbury),Côte-des-Neiges - Notre-Dame-de-Grâce,10,19,Thursday,20.41984487
Wolfe / Robin,Ville-Marie,9,20,Wednesday,12.45949788
